country,year,V,V_star,R
ABW,2009,0.44517137809664353,0.42207696302173137,0.1037551658134612
ABW,2010,1.0,0.9128428376525889,0.17431432469482216
ABW,2011,1.0,0.9852775102080413,0.02944497958391723
ABW,2012,1.0,0.932711135264892,0.13457772947021604
ABW,2013,1.0,0.9291294446130359,0.14174111077392806
ABW,2014,1.0,0.9232347063138339,0.15353058737233224
ABW,2015,0.5263343173807655,0.4734084201344586,0.201111329809106
ABW,2016,0.4932691691564104,0.4327213063107236,0.24549623869351417
ABW,2017,1.0,0.8837957807723078,0.23240843845538428
ABW,2018,0.9497832931564923,0.8443181292629943,0.22208258379234513
ABW,2019,0.8149621334148742,0.7217204074485266,0.22882468311906434
ABW,2020,1.0,0.7907054869012905,0.418589026197419
ABW,2021,0.8140259795120958,0.6327187238089564,0.4454581555537324
ABW,2022,1.0,0.8228953518880279,0.3542092962239442
AFG,2009,0.014435588538299411,0.009767643865757868,0.6467273100998836
AFG,2010,0.0948060511682513,0.06878662537205743,0.5488979970280057
AFG,2011,0.0016343901688963772,0.0011910198406747917,0.5425513890859631
AFG,2012,0.003116540575470417,0.002416440616548053,0.4492801822846089
AFG,2013,0.0015572578209819398,0.0012113162607205658,0.4442958071557324
AFG,2014,0.0016000917133458248,0.0011499656930581686,0.5626252752055488
AFG,2015,0.06186952591645222,0.04607909167006332,0.5104430335448857
AFG,2016,0.030542836618508668,0.02098903553283042,0.6256001173046735
AFG,2017,0.0035081444552227258,0.0023807394163877322,0.6427358127494305
AFG,2018,0.059859220872662044,0.04054817564750856,0.6452153884940696
AFG,2019,0.0015052953437408232,0.0009535370380936841,0.7330897659936415
AFG,2020,0.01076038340690419,0.005948310562674222,0.89440546163855
AFG,2021,0.005766071227157648,0.005766071227157648,0.0
AFG,2022,,,0.0
AGO,2009,0.29590457321093877,0.2734460428049014,0.15179576417041415
AGO,2010,0.4511181901750334,0.3910066138152785,0.26650034367459974
AGO,2011,0.38615937118468957,0.32800856402960776,0.30117517012047246
AGO,2012,0.2089457936552202,0.17406468667180816,0.3338770919788804
AGO,2013,0.4872472643702958,0.41035755832734083,0.31560856946965105
AGO,2014,0.3167089670552388,0.27685242020192075,0.25169193802060214
AGO,2015,0.5648848804625332,0.47268435690659194,0.3264400473259137
AGO,2016,0.278553546350323,0.21280978598110017,0.47203678596531046
AGO,2017,0.623034646987333,0.5329155288251234,0.2892908720180432
AGO,2018,0.6070493427753457,0.5261306682368638,0.2665966959737831
AGO,2019,0.6115939846779418,0.5127441656723819,0.3232530779635221
AGO,2020,0.4520500834637845,0.3587362877920422,0.41284715603516986
AGO,2021,0.865872907858051,0.7132285270328632,0.3525791820944971
AGO,2022,0.8845505101107916,0.7922770825893134,0.2086334843895365
ALB,2009,0.6897886748249206,0.6191570310428396,0.2047921236167248
ALB,2010,0.6319523339683447,0.5575661789680119,0.2354169800536222
ALB,2011,0.6111521610374122,0.5498752041625563,0.2005292978784208
ALB,2012,0.5972815288459874,0.5238266777822416,0.2459639132175024
ALB,2013,0.595842273842071,0.5165776691550334,0.26605901651095937
ALB,2014,0.6152476165428661,0.5425222590940082,0.23641004204943866
ALB,2015,0.6260067666995854,0.5140994020515629,0.35752765177928425
ALB,2016,0.6306123754684699,0.5265994412210205,0.32987914063748014
ALB,2017,0.6167273733284084,0.5144629182752841,0.3316358555684483
ALB,2018,0.6091971601551072,0.5116643215675913,0.3202012253723673
ALB,2019,0.6216724317392607,0.5295516999431139,0.2963642172081509
ALB,2020,0.5555020498776417,0.4231351240029146,0.47656683140551187
ALB,2021,0.5714285714285714,0.45787889592664244,0.39742386425675125
ALB,2022,1.0,0.8408506289157349,0.3182987421685302
AND,2009,,,0.0
AND,2010,,,0.0
AND,2011,,,0.0
AND,2012,,,0.0
AND,2013,,,0.0
AND,2014,,,0.0
AND,2015,,,0.0
AND,2016,,,0.0
AND,2017,,,0.0
AND,2018,,,0.0
AND,2019,1.0,1.0,0.0
AND,2020,1.0,1.0,0.0
AND,2021,1.0,1.0,0.0
AND,2022,1.0,1.0,0.0
ARE,2009,0.13969493092977578,0.13969493092977578,0.0
ARE,2010,0.3464883189872661,0.3464883189872661,0.0
ARE,2011,0.23983062923449258,0.23983062923449258,0.0
ARE,2012,0.29716421691495937,0.29716421691495937,0.0
ARE,2013,0.4502890380533488,0.4502890380533488,0.0
ARE,2014,0.5403472948713962,0.5403472948713962,0.0
ARE,2015,0.6080690448688494,0.6080690448688494,0.0
ARE,2016,0.61324184396598,0.61324184396598,0.0
ARE,2017,0.6121365382404585,0.6121365382404585,0.0
ARE,2018,0.6143466056581633,0.6143466056581633,0.0
ARE,2019,0.623086892280976,0.623086892280976,0.0
ARE,2020,0.607371090896876,0.607371090896876,0.0
ARE,2021,1.0,1.0,0.0
ARE,2022,1.0,1.0,0.0
ARG,2009,0.10473079496220444,0.08006037443038952,0.47112065826900396
ARG,2010,0.21410108536042605,0.17439350873898865,0.37092363688481195
ARG,2011,0.1686874081612174,0.14719606911327573,0.2548066780112249
ARG,2012,0.22188619748991226,0.19351571841474455,0.25572099027437284
ARG,2013,0.14473672525449935,0.13335053853050494,0.15733652539082116
ARG,2014,0.11583687547982653,0.10509441979855355,0.1854755773888916
ARG,2015,0.19173338937020623,0.1771758340646735,0.15185206242220478
ARG,2016,0.11503486534706177,0.10071620954558337,0.24894462662739364
ARG,2017,0.19865928107299635,0.16863345054505824,0.3022846993683146
ARG,2018,0.2563577472348908,0.2100028494901837,0.3616422616027586
ARG,2019,0.22268709513191656,0.18970372425327864,0.29623064469990107
ARG,2020,0.217516998566923,0.1782891456550417,0.3606876995391435
ARG,2021,0.33384985733021544,0.2875522862466849,0.2773556439638495
ARG,2022,0.43894326254174726,0.3884567511648427,0.23003661605172893
ARM,2009,0.5946056952409157,0.5153559515868837,0.2665623430395243
ARM,2010,0.5634093200111513,0.5048034634262207,0.2080400678631677
ARM,2011,0.7755444769445774,0.7001318171438765,0.19447668584477623
ARM,2012,0.4574519092356846,0.41829546886282,0.17119369088780304
ARM,2013,0.49337261180116254,0.44071166856391986,0.21347331399281633
ARM,2014,0.37772017520159273,0.35399869008443474,0.12560348466691063
ARM,2015,0.25384280727623887,0.22742254540965592,0.20816238324871397
ARM,2016,0.3800692817392647,0.3315097410887193,0.2555299414271435
ARM,2017,0.272916656682355,0.24402645576027276,0.21171445725064159
ARM,2018,0.2544913748653555,0.23298398982509286,0.16902250657132584
ARM,2019,0.21608100590855084,0.1951552115133094,0.19368471844394866
ARM,2020,0.05586877918109029,0.04828403530326595,0.27151994330284274
ARM,2021,0.2601021344966824,0.2243206615824382,0.2751340198225139
ARM,2022,0.8985614430060508,0.8109740979979801,0.19495015213440625
ATG,2009,0.5714285714285714,0.5578966933158399,0.04736157339456015
ATG,2010,0.5714285714285714,0.5541201634133314,0.06057942805334001
ATG,2011,0.5714285714285714,0.5510247284342591,0.07141345048009312
ATG,2012,0.5714285714285714,0.5503962234381012,0.07361321796664548
