country,year,variant,headline_rank,variant_rank,rank_delta,headline_vstar,variant_vstar
JPN,2022,r_no_alliance,14,15,1,0.19313602094269963,0.19520258628355502
PHL,2022,r_no_alliance,15,14,-1,0.18864686928709104,0.19851023767750645
TWN,2022,r_no_alliance,13,12,-1,0.20998859022467767,0.21910451653748284
VNM,2022,r_no_alliance,12,13,1,0.21028195437605784,0.2159041824766004
AUS,2022,r_no_alliance,5,5,0,0.3899067520483327,0.4192048745481068
CAN,2022,r_no_alliance,8,8,0,0.3377470023936277,0.3619038966421453
CZE,2022,r_no_alliance,18,18,0,0.1645630125581951,0.17387637200370393
IND,2022,r_no_alliance,22,22,0,0.09304288942149068,0.09627280391880401
KOR,2022,r_no_alliance,3,3,0,0.46790836164441046,0.47947692128183905
MNG,2022,r_no_alliance,2,2,0,0.4894439940982373,0.4961774811143333
NOR,2022,r_no_alliance,17,17,0,0.16967910333087785,0.18152997190098244
PLW,2022,r_no_alliance,11,11,0,0.21725450371680452,0.22861917286508163
SGP,2022,r_no_alliance,1,1,0,0.5268581174303529,0.5480100536433807
SWE,2022,r_no_alliance,4,4,0,0.43190681202069486,0.45749087942583244
THA,2022,r_no_alliance,10,10,0,0.2255924784155762,0.23330446396237356
USA,2022,r_no_alliance,9,9,0,0.23039949682158078,0.2387670923266123
IDN,2022,r_treaty_only,20,19,-1,0.14217500689514057,0.1445071305542878
ZAF,2022,r_treaty_only,19,20,1,0.14250314801364952,0.14250314801364952
AUS,2022,r_treaty_only,5,5,0,0.3899067520483327,0.3948651931765006
IND,2022,r_treaty_only,22,22,0,0.09304288942149068,0.09691090749063318
JPN,2022,r_treaty_only,14,14,0,0.19313602094269963,0.1964972892986865
SGP,2022,r_treaty_only,1,1,0,0.5268581174303529,0.548970636059265
