country,year,CCD
AUS,2009,0.004992760320464315
AUS,2010,0.0019090864648384687
AUS,2011,0.0041528124996519835
AUS,2012,0.004351681093113375
AUS,2013,0.001961792898615377
AUS,2014,0.0033649613311017732
AUS,2015,0.0036124976857217724
AUS,2016,0.005522943315114841
AUS,2017,0.005689146521184288
AUS,2018,0.004561581638205877
AUS,2019,0.005072068911881802
AUS,2020,0.004358587218499538
AUS,2021,0.0055870556228817874
AUS,2022,0.006097174587200768
BRA,2009,0.0038430498746536545
BRA,2010,0.006825788590917472
BRA,2011,0.005871608371334299
BRA,2012,0.008489720290836323
BRA,2013,0.01038235611435465
BRA,2014,0.008388698433611933
BRA,2015,0.006414604618875017
BRA,2016,0.009890076314480745
BRA,2017,0.007597327190367603
BRA,2018,0.007972249876290366
BRA,2019,0.009282200534139053
BRA,2020,0.010167408075075917
BRA,2021,0.008018831487928932
BRA,2022,0.007745085626125042
CAN,2009,0.004489358450471685
CAN,2010,0.002379948412237455
CAN,2011,0.007731195064137355
CAN,2012,0.007446084581274997
CAN,2013,0.0075575926183021145
CAN,2014,0.003960319547560174
CAN,2015,0.0028261772264925565
CAN,2016,0.0025244690668731174
CAN,2017,0.005793170074046654
CAN,2018,0.007179519236872304
CAN,2019,0.005631561010801444
CAN,2020,0.006014775643406457
CAN,2021,0.00725887677399906
CAN,2022,0.009106195872400559
CZE,2009,0.0018585578501787688
CZE,2010,0.003134913788945215
CZE,2011,0.0013223626017939754
CZE,2012,0.002179834316323339
CZE,2013,0.002726702936146199
CZE,2014,0.004274060558047112
CZE,2015,0.0017740395151463512
CZE,2016,0.0009981788662232255
CZE,2017,0.0034734870379191604
CZE,2018,0.0017587511418303042
CZE,2019,
CZE,2020,
CZE,2021,
CZE,2022,
DEU,2009,
DEU,2010,
DEU,2011,
DEU,2012,
DEU,2013,
DEU,2014,
DEU,2015,
DEU,2016,
DEU,2017,
DEU,2018,
DEU,2019,
DEU,2020,
DEU,2021,
DEU,2022,
IDN,2009,
IDN,2010,
IDN,2011,
IDN,2012,
IDN,2013,
IDN,2014,
IDN,2015,
IDN,2016,
IDN,2017,
IDN,2018,
IDN,2019,
IDN,2020,
IDN,2021,
IDN,2022,
IND,2009,
IND,2010,
IND,2011,
IND,2012,
IND,2013,
IND,2014,
IND,2015,
IND,2016,
IND,2017,
IND,2018,
IND,2019,
IND,2020,
IND,2021,
IND,2022,
JPN,2009,0.008752933192081522
JPN,2010,0.009322174068834455
JPN,2011,0.007658120118793895
JPN,2012,0.006081054412284091
JPN,2013,0.005214773776863079
JPN,2014,0.003828365753166098
JPN,2015,0.003660204635007877
JPN,2016,0.003948715095510407
JPN,2017,0.004416619370161446
JPN,2018,0.00423558867483685
JPN,2019,0.004243713698525574
JPN,2020,0.004079298509267665
JPN,2021,0.004215154079691764
JPN,2022,0.00581951324736239
KHM,2009,
KHM,2010,
KHM,2011,
KHM,2012,
KHM,2013,
KHM,2014,
KHM,2015,
KHM,2016,
KHM,2017,
KHM,2018,
KHM,2019,
KHM,2020,
KHM,2021,
KHM,2022,
KOR,2009,0.006696089656553184
KOR,2010,0.007376612394794547
KOR,2011,0.012867013183611923
KOR,2012,0.011195416034093408
KOR,2013,0.012246965406024705
KOR,2014,0.011933431841092274
KOR,2015,0.011514546039646339
KOR,2016,0.01230806103714267
KOR,2017,0.013151059899349008
KOR,2018,0.013779825871182278
KOR,2019,0.012484263578511278
KOR,2020,0.012237741357770896
KOR,2021,0.013623913495325176
KOR,2022,0.013729501485088799
LTU,2009,0.0
LTU,2010,0.0
LTU,2011,0.0
LTU,2012,0.0
LTU,2013,0.0
LTU,2014,0.003887703378978943
LTU,2015,0.0
LTU,2016,0.0
LTU,2017,0.0
LTU,2018,0.0
LTU,2019,0.0
LTU,2020,0.0
LTU,2021,0.0
LTU,2022,0.0
