country,year,governance
ABW,2009,0.7231153876848506
ABW,2010,0.5937086569506258
ABW,2011,0.5934388782854743
ABW,2012,0.5935068213314888
ABW,2013,0.5935827057724921
ABW,2014,0.4938284903133609
ABW,2015,0.49326255970834226
ABW,2016,0.49345929714798026
ABW,2017,0.49352318779490595
ABW,2018,0.5624226653556937
ABW,2019,0.5627645048272243
ABW,2020,0.5617882361338177
ABW,2021,0.5623675984809777
ABW,2022,0.5956952148814029
AFG,2009,0.0
AFG,2010,0.0
AFG,2011,0.0
AFG,2012,0.0
AFG,2013,0.0
AFG,2014,0.0
AFG,2015,0.0
AFG,2016,0.0
AFG,2017,0.0
AFG,2018,0.0
AFG,2019,0.0
AFG,2020,0.0
AFG,2021,0.0
AFG,2022,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AGO,2019,0.0
AGO,2020,0.0
AGO,2021,0.0
AGO,2022,0.0
ALB,2009,0.17134513962769857
ALB,2010,0.1692382515884914
ALB,2011,0.1847225338684159
ALB,2012,0.15521554547350613
ALB,2013,0.14963964041102076
ALB,2014,0.2923023568164849
ALB,2015,0.32610753537728066
ALB,2016,0.3306460916342861
ALB,2017,0.34979789313156917
ALB,2018,0.3538552923580445
ALB,2019,0.2748286407096561
ALB,2020,0.27223409219299427
ALB,2021,0.302603065090876
ALB,2022,0.3291822278247002
AND,2009,
AND,2010,
AND,2011,
AND,2012,
AND,2013,
AND,2014,
AND,2015,
AND,2016,
AND,2017,
AND,2018,
AND,2019,
AND,2020,
AND,2021,
AND,2022,
ARE,2009,0.5551210265328215
ARE,2010,0.5381060485389827
ARE,2011,0.5905794531993331
ARE,2012,0.6439390260346379
ARE,2013,0.6557741556156544
ARE,2014,0.7288778011473387
ARE,2015,0.724963902601503
ARE,2016,0.727363053584677
ARE,2017,0.7165302391654045
ARE,2018,0.7273926622425362
ARE,2019,0.7230628372192462
ARE,2020,0.5941187335939113
ARE,2021,0.6172429319787165
ARE,2022,0.6364512056181415
ARG,2009,0.24700784250337868
ARG,2010,0.2684843158102585
ARG,2011,0.28956139904241807
ARG,2012,0.26657485150408383
ARG,2013,0.26080639212360024
ARG,2014,0.32434921902099395
ARG,2015,0.30491185411049543
ARG,2016,0.3781367121278304
ARG,2017,0.3627405695280896
ARG,2018,0.3503531371680227
ARG,2019,0.35205560231428584
ARG,2020,0.3147897402928538
ARG,2021,0.3029064394516999
ARG,2022,0.3016059788311822
ARM,2009,0.25289666467292987
ARM,2010,0.21929730876908438
ARM,2011,0.2624049328416161
ARM,2012,0.27636129726183967
ARM,2013,0.288915237471567
ARM,2014,0.22277531296776235
ARM,2015,0.21958009432808573
ARM,2016,0.23160617687584734
ARM,2017,0.2626582404653095
ARM,2018,0.20956181212568034
ARM,2019,0.18337772562238475
ARM,2020,0.1557993523874088
ARM,2021,0.14998625125567178
ARM,2022,0.15804781294962428
ATG,2009,0.4596123527320588
ATG,2010,0.5122634420202019
ATG,2011,0.5118207174197407
ATG,2012,0.5119322237559608
ATG,2013,0.5120567696666686
ATG,2014,0.29211620790349846
ATG,2015,0.4036760096470628
ATG,2016,0.40399882898738576
ATG,2017,0.17912682433941482
ATG,2018,0.1797023303713128
ATG,2019,0.18026329351938408
ATG,2020,0.06617289926735889
ATG,2021,0.06712361170199517
ATG,2022,0.2357942986535773
AUS,2009,0.8055525906954695
AUS,2010,0.8259462237490326
AUS,2011,0.8229081989772398
AUS,2012,0.8231782717681316
AUS,2013,0.7962403083117514
AUS,2014,0.8526546710860475
AUS,2015,0.8139171345825921
AUS,2016,0.7971292870215578
AUS,2017,0.8034866514954431
AUS,2018,0.8297890419076236
AUS,2019,0.8107910354918915
AUS,2020,0.7907929035171489
AUS,2021,0.8225031878328155
AUS,2022,0.8437544915451594
AUT,2009,0.7984504344858117
AUT,2010,0.8383541795496464
AUT,2011,0.7774088751069556
AUT,2012,0.7630017793300065
AUT,2013,0.7804727829438967
AUT,2014,0.8193736245945067
AUT,2015,0.7893089084346699
AUT,2016,0.8080402408458428
AUT,2017,0.7935307566306236
AUT,2018,0.7904338413494906
AUT,2019,0.8389314503359863
AUT,2020,0.8896655260906198
AUT,2021,0.8596998649439961
