country,year,HAE
ABW,2009,0.031646792626734754
ABW,2010,0.5148826824173387
ABW,2011,1.0
ABW,2012,0.8093326608594927
ABW,2013,0.7852407190659636
ABW,2014,0.5815258433451959
ABW,2015,0.08370267281008842
ABW,2016,0.06249551336769271
ABW,2017,0.5295316456891518
ABW,2018,0.3552922596482453
ABW,2019,0.268821338318965
ABW,2020,0.4906029287960886
ABW,2021,0.3193405214911831
ABW,2022,0.7447009376376458
AFG,2009,0.03025862559875178
AFG,2010,0.08073258633208072
AFG,2011,0.01996078417953126
AFG,2012,0.021996759343667936
AFG,2013,0.016164550278148095
AFG,2014,0.013983882699760562
AFG,2015,0.05968700626867846
AFG,2016,0.03959445142430243
AFG,2017,0.022322865311817056
AFG,2018,0.05843418655239109
AFG,2019,0.017633712616722266
AFG,2020,0.016769828471348315
AFG,2021,0.024026160088834056
AFG,2022,
AGO,2009,0.1804905089965339
AGO,2010,0.3187014001886087
AGO,2011,0.27167645278808933
AGO,2012,0.10917118798057227
AGO,2013,0.3601765941624401
AGO,2014,0.19742853287757542
AGO,2015,0.7029947258226606
AGO,2016,0.04964316257773958
AGO,2017,0.6811741581259673
AGO,2018,0.47597479082797906
AGO,2019,0.5294249467673334
AGO,2020,0.22297209135547807
AGO,2021,0.46092793990977343
AGO,2022,0.3451877619556051
ALB,2009,0.9404088850576486
ALB,2010,0.6267490981643191
ALB,2011,0.6427317293906702
ALB,2012,0.545011794350297
ALB,2013,0.6681782245948593
ALB,2014,0.6144934532505989
ALB,2015,0.6212571221550544
ALB,2016,0.5846789392789985
ALB,2017,0.5676628623581406
ALB,2018,0.5240291924559146
ALB,2019,0.5308480946633403
ALB,2020,0.48982322950437107
ALB,2021,0.4689917020563783
ALB,2022,0.5724254950544608
AND,2009,
AND,2010,
AND,2011,
AND,2012,
AND,2013,
AND,2014,
AND,2015,
AND,2016,
AND,2017,
AND,2018,
AND,2019,1.0
AND,2020,0.9354427912970011
AND,2021,1.0
AND,2022,1.0
ARE,2009,0.10141926828620193
ARE,2010,0.23422148411001048
ARE,2011,0.16861978019986276
ARE,2012,0.2054117582655386
ARE,2013,0.3026004855447802
ARE,2014,0.3578177407746019
ARE,2015,0.44056330150189504
ARE,2016,0.4421453443935656
ARE,2017,0.4035082469683533
ARE,2018,0.3853365083420957
ARE,2019,0.6007291611062973
ARE,2020,0.724635213493244
ARE,2021,0.6819578135733385
ARE,2022,0.6201206969969808
ARG,2009,0.09467546103399496
ARG,2010,0.19352664889796042
ARG,2011,0.15502206395747328
ARG,2012,0.19999160197368968
ARG,2013,0.12936167740465812
ARG,2014,0.08848712197461814
ARG,2015,0.1416196431953947
ARG,2016,0.06034562289914727
ARG,2017,0.13126095546843602
ARG,2018,0.1707601863311797
ARG,2019,0.12167251829060133
ARG,2020,0.1047561672849822
ARG,2021,0.11237863845409336
ARG,2022,0.18187270572155034
ARM,2009,0.6261849149736526
ARM,2010,0.4008374896012933
ARM,2011,0.5733857048328797
ARM,2012,0.3264883481246434
ARM,2013,0.22560294200916908
ARM,2014,0.2500147824976785
ARM,2015,0.13447872787646944
ARM,2016,0.25560282226955056
ARM,2017,0.16297596992606236
ARM,2018,0.14655581869396261
ARM,2019,0.1141910399292391
ARM,2020,0.04527957941353625
ARM,2021,0.18782300651280964
ARM,2022,0.35032276886171754
ATG,2009,0.4722633814571762
ATG,2010,0.5565291501172979
ATG,2011,0.4848893868444838
ATG,2012,0.7344888981321045
ATG,2013,0.5879303457284931
ATG,2014,0.2543213227151835
ATG,2015,0.5940939552852443
ATG,2016,0.6060428842730785
ATG,2017,0.7075954112527365
ATG,2018,0.8160182836248687
ATG,2019,0.5451852436637535
ATG,2020,0.5403121863592383
ATG,2021,1.0
ATG,2022,1.0
AUS,2009,0.21271062147828568
AUS,2010,0.2190502024448157
AUS,2011,0.23124885300395343
AUS,2012,0.2075788965058275
AUS,2013,0.19576207352514724
AUS,2014,0.24232431363518706
AUS,2015,0.2072962563275016
AUS,2016,0.20206358775428485
AUS,2017,0.21346659182124078
AUS,2018,0.2121300082173685
AUS,2019,0.19414301451274435
AUS,2020,0.164063915760506
AUS,2021,0.17816076035993866
AUS,2022,0.3572525203033493
AUT,2009,0.4985220409837287
AUT,2010,0.6213846390539582
AUT,2011,0.9500493859886249
AUT,2012,0.3878367482925817
AUT,2013,0.19256975791252057
AUT,2014,0.03927726444838327
AUT,2015,0.13214213251836765
AUT,2016,0.9521618236122406
AUT,2017,0.3541859957873713
AUT,2018,0.8161060730877311
AUT,2019,0.31495252741841084
AUT,2020,0.2166698432384307
AUT,2021,0.6672471728476582
AUT,2022,0.40453760044195125
AZE,2009,0.8508420602609434
AZE,2010,0.8032412231877238
AZE,2011,0.8124657265322633
AZE,2012,0.9351416747479617
AZE,2013,0.36832911304572985
AZE,2014,0.5686299220054191
AZE,2015,0.9115200618501903
AZE,2016,1.0
AZE,2017,0.8861130299654476
AZE,2018,0.44770524612320806
AZE,2019,0.5446392628717821
AZE,2020,0.20806374190929036
AZE,2021,0.21701043884044033
AZE,2022,0.39308379990848874
BDI,2009,
BDI,2010,
BDI,2011,
BDI,2012,
BDI,2013,0.31786779915401986
BDI,2014,0.22604998139102278
BDI,2015,0.017894138594322533
BDI,2016,0.0018283796768954713
BDI,2017,0.1601128224898346
BDI,2018,
BDI,2019,0.07202915426395191
BDI,2020,0.04670143882394244
BDI,2021,0.04571902162550821
BDI,2022,0.04509898210391001
BEL,2009,1.0
BEL,2010,1.0
BEL,2011,1.0
BEL,2012,0.712992862059761
BEL,2013,0.5343803289842405
BEL,2014,0.19361173624641975
BEL,2015,0.3881673296389567
BEL,2016,1.0
BEL,2017,0.5668230495396694
BEL,2018,0.9534007797970073
BEL,2019,0.3552187892099306
BEL,2020,0.635300701942131
BEL,2021,1.0
BEL,2022,0.5341595703970641
BEN,2009,0.09661110051213669
BEN,2010,0.1362700367095674
BEN,2011,0.13779946731380982
BEN,2012,0.19260477338891882
BEN,2013,0.22311240384648065
BEN,2014,0.21228489751701052
BEN,2015,0.10680972324813225
BEN,2016,0.08412781116451629
BEN,2017,0.12219409814777316
BEN,2018,0.09528274168759789
BEN,2019,0.11365700107516591
BEN,2020,0.08310484621264982
BEN,2021,0.14657607806238965
BEN,2022,0.16166380757261536
BFA,2009,0.05034123142477255
BFA,2010,0.026083284750890303
BFA,2011,0.13587869321611792
BFA,2012,0.21348470150839619
BFA,2013,0.27209071494457393
BFA,2014,0.2040894075714504
BFA,2015,0.1386090387349254
BFA,2016,0.2291586868239541
BFA,2017,0.006068642678279737
BFA,2018,0.14102238571203182
BFA,2019,0.0745988329726706
BFA,2020,0.039837019587757934
BFA,2021,0.041655558463627826
BFA,2022,0.24818402889381933
BGD,2009,0.07039857800942968
BGD,2010,0.07510701932251365
BGD,2011,0.08097815798852157
BGD,2012,0.09368898973157821
BGD,2013,0.13999381292892366
BGD,2014,0.09952422336934136
BGD,2015,0.09876522422628027
BGD,2016,0.059653641922034845
BGD,2017,0.04396604462072382
BGD,2018,0.0506351210915917
BGD,2019,0.03665400737989278
BGD,2020,0.02727636137117295
BGD,2021,0.028940090259360094
BGD,2022,0.023655147933462118
BGR,2009,0.5456084427957096
BGR,2010,0.3198620454996587
BGR,2011,0.3000449598078953
BGR,2012,0.26987072557588243
BGR,2013,0.27952839884230274
BGR,2014,0.23076709483749783
BGR,2015,0.30788243862827763
BGR,2016,0.2862176404417507
BGR,2017,0.28201584284144127
BGR,2018,0.275762471528185
BGR,2019,0.2968233341136789
BGR,2020,0.3075838598544196
BGR,2021,0.25560252632957925
BGR,2022,0.47601620189071514
BHR,2009,0.595407750076449
BHR,2010,0.12181696981879239
BHR,2011,0.3731652904122124
BHR,2012,0.4297911618783878
BHR,2013,0.8395314513700324
BHR,2014,0.36677076266443814
BHR,2015,0.6673884623897548
BHR,2016,0.2210250034535157
BHR,2017,0.2965661377514677
BHR,2018,0.29745020912927334
BHR,2019,0.18770822374189014
BHR,2020,0.2281270060371279
BHR,2021,0.30094799486669144
BHR,2022,0.5595284710343542
BHS,2009,0.5882982500430777
BHS,2010,0.6751473357792447
BHS,2011,0.7882130920994924
BHS,2012,0.4257148240737286
BHS,2013,0.41964989387734325
BHS,2014,1.0
BHS,2015,0.13853143922754613
BHS,2016,0.42027536994111003
BHS,2017,0.24405201462068626
BHS,2018,0.31657346752250065
BHS,2019,0.2988763596952123
BHS,2020,0.3180711887278022
BHS,2021,0.2590557348293284
BHS,2022,0.3575872183614214
BIH,2009,0.08780866813496874
BIH,2010,0.2037767347048785
BIH,2011,0.17036062857116746
BIH,2012,0.17475840092918155
BIH,2013,0.14652610479535572
BIH,2014,0.1993051723316071
BIH,2015,0.19418567831896885
BIH,2016,0.1234995314829811
BIH,2017,0.22197242627388963
BIH,2018,0.2020327528205058
BIH,2019,0.15291213052638972
BIH,2020,0.18670947628095352
BIH,2021,0.24193522001588708
BIH,2022,0.2744761704005888
BLR,2009,0.2593115525018071
BLR,2010,0.16820454855656275
BLR,2011,0.44556787313056373
BLR,2012,0.1643275279954025
BLR,2013,0.22140262744925543
BLR,2014,0.16371227273052574
BLR,2015,0.20770609874495335
BLR,2016,0.19135208707832624
BLR,2017,0.1637386976610475
BLR,2018,0.16454824385605918
BLR,2019,0.13218409318937355
BLR,2020,0.16032369327886759
BLR,2021,0.12533713938008517
BLR,2022,0.16144694487187447
BLZ,2009,0.43167658484362353
BLZ,2010,0.37191386134523363
BLZ,2011,0.34935853330350586
BLZ,2012,0.6783816330574926
BLZ,2013,0.30441773453599535
BLZ,2014,0.4484420089077842
BLZ,2015,0.18114157874423523
BLZ,2016,0.10255445772999863
BLZ,2017,0.09440539639546593
BLZ,2018,0.3580186105088989
BLZ,2019,0.2688540474335762
BLZ,2020,0.262562437845926
BLZ,2021,0.3487121266713779
BLZ,2022,0.33281378779268006
BMU,2009,0.0818551232353807
BMU,2010,0.23775725937250752
BMU,2011,0.6279167880294559
BMU,2012,0.301069479979517
BMU,2013,0.10875707996414442
BMU,2014,0.12799498576315096
BMU,2015,0.22797556116396872
BMU,2016,0.16285972257916345
BMU,2017,0.3077161270751065
BMU,2018,0.12034790012939889
BMU,2019,0.037863171712939986
BMU,2020,0.47211875520639446
BMU,2021,0.06991979407420466
BMU,2022,0.02273881848075512
BOL,2009,0.16379861276369684
BOL,2010,0.22080152703496736
BOL,2011,0.2390379423327943
BOL,2012,
BOL,2013,
BOL,2014,0.13934526933747535
BOL,2015,0.11240947481514975
BOL,2016,0.0833269484587724
BOL,2017,0.11498823035035464
BOL,2018,0.05326748115091127
BOL,2019,0.036006153487271285
BOL,2020,0.19546288167981218
BOL,2021,0.09397603230373977
BOL,2022,0.01138577715275763
BRA,2009,0.08173081317517747
BRA,2010,0.13733292089303842
BRA,2011,0.12908659737135644
BRA,2012,0.11528937651480756
BRA,2013,0.11198254211664288
BRA,2014,0.1267075802501459
BRA,2015,0.11382090878924561
BRA,2016,0.1376128057987325
BRA,2017,0.12594884847470839
BRA,2018,0.12218406416363572
BRA,2019,0.13671661825119827
BRA,2020,0.09505059324105539
BRA,2021,0.11353658004810147
BRA,2022,0.15003675473248881
BRB,2009,0.7221241267965993
BRB,2010,0.9203759149084018
BRB,2011,1.0
BRB,2012,0.6901187540967216
BRB,2013,0.1535738917795398
BRB,2014,0.9631157792108677
BRB,2015,1.0
BRB,2016,0.7655811042597547
BRB,2017,0.23694615763148302
BRB,2018,0.2786166260870334
BRB,2019,0.2629158913478911
BRB,2020,0.3326394943568762
BRB,2021,0.2873353999784991
BRB,2022,0.20813231321587866
BRN,2009,
BRN,2010,
BRN,2011,
BRN,2012,
BRN,2013,
BRN,2014,
BRN,2015,
BRN,2016,
BRN,2017,
BRN,2018,
BRN,2019,
BRN,2020,
BRN,2021,
BRN,2022,
BTN,2009,
BTN,2010,
BTN,2011,
BTN,2012,
BTN,2013,
BTN,2014,
BTN,2015,
