country,year,OLE
AUS,2009,
AUS,2010,
AUS,2011,
AUS,2012,
AUS,2013,
AUS,2014,
AUS,2015,
AUS,2016,
AUS,2017,
AUS,2018,
AUS,2019,
AUS,2020,
AUS,2021,
AUS,2022,
BRA,2009,0.22302947281823599
BRA,2010,0.22093499432800912
BRA,2011,0.21902977565160467
BRA,2012,0.22054020072452304
BRA,2013,0.2190613607597985
BRA,2014,0.21749052362495894
BRA,2015,0.22529639232316767
BRA,2016,0.23308005325847841
BRA,2017,0.2384890222678646
BRA,2018,0.23964027124210288
BRA,2019,0.24112326228786116
BRA,2020,0.24394302838951173
BRA,2021,0.24348044617966996
BRA,2022,
CAN,2009,
CAN,2010,
CAN,2011,
CAN,2012,
CAN,2013,
CAN,2014,
CAN,2015,
CAN,2016,
CAN,2017,
CAN,2018,
CAN,2019,
CAN,2020,
CAN,2021,
CAN,2022,
CZE,2009,
CZE,2010,
CZE,2011,
CZE,2012,
CZE,2013,
CZE,2014,
CZE,2015,
CZE,2016,
CZE,2017,
CZE,2018,
CZE,2019,
CZE,2020,
CZE,2021,
CZE,2022,
DEU,2009,
DEU,2010,
DEU,2011,
DEU,2012,
DEU,2013,
DEU,2014,
DEU,2015,
DEU,2016,
DEU,2017,
DEU,2018,
DEU,2019,
DEU,2020,
DEU,2021,
DEU,2022,
IDN,2009,0.23428947287008395
IDN,2010,0.23191864354901454
IDN,2011,0.23267990531302482
IDN,2012,0.23169441593693715
IDN,2013,0.23723710478017634
IDN,2014,0.2362140224611659
IDN,2015,0.24325808033227697
IDN,2016,0.2494368855281898
IDN,2017,0.25499235860590924
IDN,2018,0.25384137085498415
IDN,2019,0.2531121519903422
IDN,2020,0.25289185685973437
IDN,2021,0.25280575765916113
IDN,2022,
IND,2009,0.20414947571677386
IND,2010,0.20629855144555553
IND,2011,0.2090722639348397
IND,2012,0.20917304492798186
IND,2013,0.20915825070893088
IND,2014,0.20862283454233285
IND,2015,0.20831131205368922
IND,2016,0.20930536045757342
IND,2017,0.20833976444636096
IND,2018,0.2081857530650682
IND,2019,0.20769968944445974
IND,2020,0.20768578234325097
IND,2021,
IND,2022,
JPN,2009,
JPN,2010,
JPN,2011,
JPN,2012,
JPN,2013,
JPN,2014,
JPN,2015,
JPN,2016,
JPN,2017,
JPN,2018,
JPN,2019,
JPN,2020,
JPN,2021,
JPN,2022,
KHM,2009,0.38367034850784476
KHM,2010,0.6601260323256153
KHM,2011,0.6144905711366815
KHM,2012,0.5959935671588312
KHM,2013,0.5993060736556555
KHM,2014,0.6014049287848834
KHM,2015,0.569598768977808
KHM,2016,0.5571548610063736
KHM,2017,0.5280641598505509
KHM,2018,0.4987183108608804
KHM,2019,0.4654186497795205
KHM,2020,0.4621591797868156
KHM,2021,0.447068459884453
KHM,2022,
KOR,2009,
KOR,2010,
KOR,2011,
KOR,2012,
KOR,2013,
KOR,2014,
KOR,2015,
KOR,2016,
KOR,2017,
KOR,2018,
KOR,2019,
KOR,2020,
KOR,2021,
KOR,2022,
LTU,2009,
LTU,2010,
LTU,2011,
LTU,2012,
LTU,2013,
LTU,2014,
LTU,2015,
LTU,2016,
LTU,2017,
LTU,2018,
LTU,2019,
LTU,2020,
LTU,2021,
LTU,2022,
MEX,2009,0.2029506983300663
MEX,2010,
MEX,2011,0.20262661699808307
MEX,2012,0.20221327280082735
MEX,2013,0.20190269004731484
MEX,2014,0.20176361713584598
MEX,2015,0.20198022482737882
MEX,2016,0.20195777800347972
MEX,2017,0.201906818187036
MEX,2018,0.20190856593286602
MEX,2019,0.20229729796506385
MEX,2020,0.20234868367231157
MEX,2021,0.20276290683931147
MEX,2022,
MNG,2009,0.39753131004845194
MNG,2010,0.3233295966556131
MNG,2011,0.3394473887059444
MNG,2012,0.3202926675730159
MNG,2013,0.3627896326071463
MNG,2014,0.44963427104384895
MNG,2015,0.563064393473196
MNG,2016,0.6776649317787578
MNG,2017,0.7522086503200771
MNG,2018,0.7797862331817584
MNG,2019,0.8223082655360221
MNG,2020,0.940109862203736
MNG,2021,0.9293652875283365
MNG,2022,
NOR,2009,
NOR,2010,
NOR,2011,
NOR,2012,
NOR,2013,
NOR,2014,
NOR,2015,
NOR,2016,
NOR,2017,
NOR,2018,
NOR,2019,
NOR,2020,
NOR,2021,
NOR,2022,
PHL,2009,0.21251707665587002
PHL,2010,0.21641860040494018
PHL,2011,0.21631279159898983
PHL,2012,0.21576208653729212
PHL,2013,0.2143666639251856
PHL,2014,0.2140067825297054
PHL,2015,0.2138308665383429
PHL,2016,0.22664040624989135
PHL,2017,0.23084468730296592
PHL,2018,0.2304831638207986
PHL,2019,0.2343255578595041
