country,year,SCD
ABW,2009,0.7611353909164562
ABW,2010,0.8487242253131276
ABW,2011,0.7380701452353918
ABW,2012,0.7385670954432029
ABW,2013,0.750353432182079
ABW,2014,0.7716690096399283
ABW,2015,0.7962306798209434
ABW,2016,0.8538597077085567
ABW,2017,0.8613996106067489
ABW,2018,0.9079945849108852
ABW,2019,0.9445002788383803
ABW,2020,0.8133761546698572
ABW,2021,
ABW,2022,
AFG,2009,
AFG,2010,
AFG,2011,
AFG,2012,
AFG,2013,
AFG,2014,
AFG,2015,
AFG,2016,
AFG,2017,
AFG,2018,
AFG,2019,
AFG,2020,0.03606513291155076
AFG,2021,
AFG,2022,
AGO,2009,0.013321331971701284
AGO,2010,0.014099102553077466
AGO,2011,0.009610118628934081
AGO,2012,0.00989901809540793
AGO,2013,0.01843266257576268
AGO,2014,0.02811697299362583
AGO,2015,0.043671352057868824
AGO,2016,0.042531644532547534
AGO,2017,0.041154495401592286
AGO,2018,0.017167665838867748
AGO,2019,0.013166148360906765
AGO,2020,0.0010224315878781926
AGO,2021,
AGO,2022,
ALB,2009,0.6621606693584059
ALB,2010,0.5328000536425312
ALB,2011,0.4862770001870121
ALB,2012,0.4552530195188585
ALB,2013,0.4520338858267655
ALB,2014,0.49543716900087714
ALB,2015,0.5195018015180729
ALB,2016,0.5298030131311444
ALB,2017,0.49874689167787367
ALB,2018,0.48190431488025637
ALB,2019,0.5098073389901465
ALB,2020,0.36180625155965873
ALB,2021,
ALB,2022,
AND,2009,
AND,2010,
AND,2011,
AND,2012,
AND,2013,
AND,2014,
AND,2015,
AND,2016,
AND,2017,
AND,2018,
AND,2019,
AND,2020,
AND,2021,
AND,2022,
ARE,2009,0.03640344940096586
ARE,2010,0.03598820064894997
ARE,2011,0.029138759940518538
ARE,2012,0.029090796367130158
ARE,2013,0.03158488994930992
ARE,2014,0.037794729141410584
ARE,2015,0.07136676791632854
ARE,2016,0.07946564703606934
ARE,2017,0.07773510670514464
ARE,2018,0.08647665583752892
ARE,2019,0.0948797110145815
ARE,2020,0.07027400464754219
ARE,2021,
ARE,2022,
ARG,2009,0.06839800319939524
ARG,2010,0.0698800536656282
ARG,2011,0.061936419522325634
ARG,2012,0.06389877199806906
ARG,2013,0.06443139911913669
ARG,2014,0.07445376270482226
ARG,2015,0.08545385765919566
ARG,2016,0.07826168635002703
ARG,2017,0.0800158572458434
ARG,2018,0.07917736984129488
ARG,2019,0.07044650458809087
ARG,2020,0.0265714092248262
ARG,2021,
ARG,2022,
ARM,2009,0.4492680716888483
ARM,2010,0.3794921790916086
ARM,2011,0.3335774694028934
ARM,2012,0.2914368991400557
ARM,2013,0.28699884758418126
ARM,2014,0.29978394218700827
ARM,2015,0.3047477341295059
ARM,2016,0.2913970929703974
ARM,2017,0.27784468629517606
ARM,2018,0.27671686135962675
ARM,2019,0.2698116414509496
ARM,2020,0.07969072182618796
ARM,2021,
ARM,2022,
ATG,2009,
ATG,2010,
ATG,2011,
ATG,2012,
ATG,2013,
ATG,2014,0.7816719364596328
ATG,2015,0.7890853038601529
ATG,2016,0.8091410067037849
ATG,2017,0.8293781162552871
ATG,2018,0.8227624522303195
ATG,2019,0.8307563468308511
ATG,2020,0.703561026026496
ATG,2021,
ATG,2022,
AUS,2009,0.23377279377545052
AUS,2010,0.23697666030742773
AUS,2011,0.2303351872854324
AUS,2012,0.22678978415592954
AUS,2013,0.22731737630074178
AUS,2014,0.23062544929179482
AUS,2015,0.23610542592119843
AUS,2016,0.24636339865029333
AUS,2017,0.24281943102982184
AUS,2018,0.24141854250072534
AUS,2019,0.23875440702006093
AUS,2020,0.22065797865746464
AUS,2021,0.196
AUS,2022,0.196
AUT,2009,
AUT,2010,
AUT,2011,
AUT,2012,
AUT,2013,
AUT,2014,
AUT,2015,0.10076852868912695
AUT,2016,0.1011194000902113
AUT,2017,0.09947966733540853
AUT,2018,0.10080584630651139
AUT,2019,0.10469720533583358
AUT,2020,0.06845102634800927
AUT,2021,
AUT,2022,
AZE,2009,0.023829589949464488
AZE,2010,0.027564848984193712
AZE,2011,0.04030614224027928
AZE,2012,0.07135750078447473
AZE,2013,0.07291371592478335
AZE,2014,0.08332583107195296
AZE,2015,0.12637060351874185
AZE,2016,0.16239346652883757
AZE,2017,0.16199698865217063
AZE,2018,0.11104913049700409
AZE,2019,0.08481252354946381
AZE,2020,0.022355530286328633
AZE,2021,
AZE,2022,
BDI,2009,
BDI,2010,
BDI,2011,
BDI,2012,
BDI,2013,
BDI,2014,
BDI,2015,
BDI,2016,
BDI,2017,
BDI,2018,
BDI,2019,
BDI,2020,
BDI,2021,
BDI,2022,
BEL,2009,0.03822652281865667
BEL,2010,0.034724878856028096
BEL,2011,0.03335161181496131
BEL,2012,0.034347967195604734
BEL,2013,0.035142579634925855
BEL,2014,0.03569996365739869
BEL,2015,0.024996432141862927
BEL,2016,0.02326233233251698
BEL,2017,0.02305371583312835
BEL,2018,0.02277866857392939
BEL,2019,0.023761080035904183
BEL,2020,0.01775202460265464
BEL,2021,
BEL,2022,
BEN,2009,0.06770716701356619
BEN,2010,0.06790910710606597
BEN,2011,0.09015392483784478
BEN,2012,0.06535405102522032
BEN,2013,0.055921918710394904
BEN,2014,0.03664285499194844
BEN,2015,0.052571664019437844
BEN,2016,0.039529124195480825
BEN,2017,0.046302177616191556
BEN,2018,0.04498758513820647
BEN,2019,0.05648246216754431
BEN,2020,
BEN,2021,
BEN,2022,
BFA,2009,0.0759695418208399
BFA,2010,0.050624994342515356
BFA,2011,0.03665672937354391
BFA,2012,0.038312002608930196
BFA,2013,0.05494035653612562
BFA,2014,0.04873328518518211
BFA,2015,0.049205298602483294
BFA,2016,0.05171548300025209
BFA,2017,0.046092503948229537
BFA,2018,0.0401187265060625
BFA,2019,0.036880452787361385
BFA,2020,
BFA,2021,
BFA,2022,
BGD,2009,0.004435630023752499
BGD,2010,0.005576042417555757
BGD,2011,0.0037859156019579973
BGD,2012,0.003906603913400915
