perturbed_weight,delta,w_ccd,w_hae,w_ole,w_scd,w_agg,auc_attempted,auc_succeeded,brier
CCD,-0.5,0.25,0.25,0.18749999999999997,0.18749999999999997,0.125,0.3645833333333333,0.3333333333333333,0.4233515213371846
CCD,-0.25,0.33333333333333337,0.22222222222222224,0.16666666666666666,0.16666666666666666,0.11111111111111112,0.3541666666666667,0.3333333333333333,0.4230620438186096
CCD,0.0,0.4,0.2,0.15,0.15,0.1,0.359375,0.358974358974359,0.42318329461551674
CCD,0.25,0.45454545454545453,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.3541666666666667,0.38461538461538464,0.4234996448733509
CCD,0.5,0.5,0.16666666666666666,0.12499999999999997,0.12499999999999997,0.08333333333333333,0.3489583333333333,0.38461538461538464,0.42390443762245994
HAE,-0.5,0.4444444444444445,0.11111111111111112,0.16666666666666666,0.16666666666666666,0.11111111111111112,0.3958333333333333,0.358974358974359,0.4269260726122642
HAE,-0.25,0.42105263157894735,0.15789473684210528,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.375,0.38461538461538464,0.4244187894695259
HAE,0.0,0.4,0.2,0.15,0.15,0.1,0.359375,0.358974358974359,0.42318329461551674
HAE,0.25,0.38095238095238093,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.3385416666666667,0.3076923076923077,0.4226481853447179
HAE,0.5,0.36363636363636365,0.27272727272727276,0.13636363636363635,0.13636363636363635,0.09090909090909091,0.3333333333333333,0.3076923076923077,0.4225143638269799
OLE,-0.5,0.43243243243243246,0.21621621621621623,0.08108108108108107,0.16216216216216214,0.10810810810810811,0.3229166666666667,0.3333333333333333,0.42584439710029975
OLE,-0.25,0.4155844155844156,0.2077922077922078,0.11688311688311687,0.15584415584415584,0.1038961038961039,0.34375,0.3333333333333333,0.424408836113896
OLE,0.0,0.4,0.2,0.15,0.15,0.1,0.359375,0.358974358974359,0.42318329461551674
OLE,0.25,0.38554216867469876,0.19277108433734938,0.18072289156626503,0.14457831325301204,0.09638554216867469,0.3697916666666667,0.358974358974359,0.42212604174062346
OLE,0.5,0.372093023255814,0.186046511627907,0.20930232558139533,0.13953488372093023,0.0930232558139535,0.375,0.38461538461538464,0.4212056324793489
SCD,-0.5,0.43243243243243246,0.21621621621621623,0.16216216216216214,0.08108108108108107,0.10810810810810811,0.3385416666666667,0.41025641025641024,0.42580597211851695
SCD,-0.25,0.4155844155844156,0.2077922077922078,0.15584415584415584,0.11688311688311687,0.1038961038961039,0.3541666666666667,0.38461538461538464,0.4240643540511693
SCD,0.0,0.4,0.2,0.15,0.15,0.1,0.359375,0.358974358974359,0.42318329461551674
SCD,0.25,0.38554216867469876,0.19277108433734938,0.14457831325301204,0.18072289156626503,0.09638554216867469,0.359375,0.358974358974359,0.42286752523956483
SCD,0.5,0.372093023255814,0.186046511627907,0.13953488372093023,0.20930232558139533,0.0930232558139535,0.3645833333333333,0.358974358974359,0.4229287086352408
AGG,-0.5,0.42105263157894735,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.34375,0.38461538461538464,0.41861168856318814
AGG,-0.25,0.41025641025641024,0.20512820512820512,0.15384615384615383,0.15384615384615383,0.07692307692307693,0.3541666666666667,0.38461538461538464,0.42089902768564097
AGG,0.0,0.4,0.2,0.15,0.15,0.1,0.359375,0.358974358974359,0.42318329461551674
AGG,0.25,0.39024390243902446,0.19512195121951223,0.14634146341463417,0.14634146341463417,0.12195121951219513,0.3645833333333333,0.3333333333333333,0.42543477055513584
AGG,0.5,0.38095238095238093,0.19047619047619047,0.14285714285714285,0.14285714285714285,0.14285714285714288,0.359375,0.3333333333333333,0.42763466652474813
