country,year,urbanization
ABW,2009,0.643229852842726
ABW,2010,0.641612965549477
ABW,2011,0.639992605838571
ABW,2012,0.638252085199599
ABW,2013,0.636382914355326
ABW,2014,0.634392531303795
ABW,2015,0.632288374043053
ABW,2016,0.630077880571142
ABW,2017,0.627768488886109
ABW,2018,0.625367636985996
ABW,2019,0.62288276286885
ABW,2020,0.620028837566365
ABW,2021,0.619275339886843
ABW,2022,0.618811657924257
AFG,2009,0.21688547510905298
AFG,2010,0.222614799010924
AFG,2011,0.228205691572485
AFG,2012,0.23343439131097898
AFG,2013,0.238077136743646
AFG,2014,0.241910166387726
AFG,2015,0.24464911842156797
AFG,2016,0.246588345720126
AFG,2017,0.248352821238871
AFG,2018,0.249991645191406
AFG,2019,0.251437258839803
AFG,2020,0.252622103446137
AFG,2021,0.253478620272481
AFG,2022,0.253939250580909
AGO,2009,0.593775316348744
AGO,2010,0.601310289535053
AGO,2011,0.6084316103960731
AGO,2012,0.615114223949332
AGO,2013,0.621333075212361
AGO,2014,0.62723115793241
AGO,2015,0.6351567832685
AGO,2016,0.642992302517989
AGO,2017,0.6508505250860679
AGO,2018,0.658732136723372
AGO,2019,0.6666378231805329
AGO,2020,0.6745682702081869
AGO,2021,0.682524163556969
AGO,2022,0.690506188977513
ALB,2009,0.506132439427449
ALB,2010,0.518815774292716
ALB,2011,0.532917382892465
ALB,2012,0.538637553661449
ALB,2013,0.5429796780585481
ALB,2014,0.547325813178673
ALB,2015,0.5515792913748939
ALB,2016,0.555738734464276
ALB,2017,0.5598027642654599
ALB,2018,0.56377000259892
ALB,2019,0.567639071287255
ALB,2020,0.571408592155544
ALB,2021,0.575077187031778
ALB,2022,0.578643477747383
AND,2009,0.8884433315185
AND,2010,0.8876047260566089
AND,2011,0.8868883403197629
AND,2012,0.886290967082924
AND,2013,0.8858093991210529
AND,2014,0.8854404292091099
AND,2015,0.885180850122057
AND,2016,0.885027454634853
AND,2017,0.884977035522461
AND,2018,0.885080998493791
AND,2019,0.885391793666245
AND,2020,0.8859077804275169
AND,2021,0.8866273181652989
AND,2022,0.8875487662672861
